ID,Chinese Name,English Name,Category,Symbolic Meaning (brief),Traditions,Offered To,Occasions,Origin Country
1,莲花,Lotus Flower,flowers,"Purity of body, speech and mind; spiritual growth; enlightenment rising above material desire and suffering. White lotus...",Theravada; Mahayana; Vajrayana,Shakyamuni Buddha; Amitabha Buddha,Daily altar offerings; Vesak/Buddha Day,India (spread throughout Asia)
2,檀香,Sandalwood Incense,incense,"Purity, detachment, the 'fragrance' of morality and ethical conduct. The rising smoke symbolizes prayers and aspirations...",Theravada; Mahayana; Vajrayana; Chan/Zen,Amitabha Buddha (particularly); All Buddhas and Bodhisattvas,Daily worship; Vesak,"India (Santalum album native to South Asia; also found in Sri Lanka, Indonesia)"
3,沉香,Agarwood (Oud / Aloeswood / Eaglewood),incense,"Spiritual purification, deepened meditation, penetration of the three domains (heaven, human realm, underworld). The Lot...",Mahayana; Vajrayana; Chan/Zen; Japanese Buddhism,All Buddhas and Bodhisattvas,Bathing the Buddha Day; Ullambana/Ghost Festival,"Southeast Asia (particularly Vietnam, Cambodia, Indonesia), also found in India"
4,灯/蜡烛,Candles / Oil Lamps,candles_and_lamps,Wisdom illuminating the darkness of ignorance; the lamp of Dharma; dispelling all darkness of the mind. The six common o...,Theravada; Mahayana; Vajrayana,All Buddhas and Bodhisattvas,Vesak/Buddha Day (central offering); All festivals,India (ancient lamp offering tradition spread throughout Buddhist world)
5,酥油灯,Butter Lamp (Yak Butter Lamp),candles_and_lamps,"The teachings, wisdom, and compassion of the Buddha dispelling the darkness of ignorance. Traditionally dedicated to the...",Vajrayana; Tibetan Buddhism,All Buddhas; Specific tantric deities,Daily Tibetan Buddhist practice; Losar (Tibetan New Year),Tibet (merged Indian lamp tradition with local butter customs)
6,莲花形蜡烛,Lotus-Shaped Candles,candles_and_lamps,"Combination of light symbolism (wisdom, Dharma) and lotus symbolism (purity, enlightenment blooming in the chaotic world...",Theravada; Mahayana,Shakyamuni Buddha; All Buddhas,Vesak/Buddha Day; Temple festivals,"Sri Lanka, Thailand, Myanmar (Southeast Asian Theravada tradition)"
7,纯净水/供水,Pure Water Offering (Argham),water,"Hospitality, purity, the aspiration to be free from spiritual thirst. The first bowl (Argham) represents drinking water ...",Vajrayana; Tibetan Buddhism; Mahayana,All Buddhas and Bodhisattvas,Daily Tibetan practice; Any altar worship,"India (ancient hospitality tradition), adopted and developed in Tibet"
8,洗足水 (浴足水),Foot-Washing Water (Padyam),water,"Purification of body, speech, and mind. Represents the ancient Indian custom of welcoming honored guests. Reflects devot...",Vajrayana; Tibetan Buddhism,All Buddhas and Bodhisattvas,Daily Tibetan practice; Formal puja ceremonies,"India (originated as ancient hospitality custom), Tibet"
9,鲜花 (菊花),Chrysanthemum,flowers,"Represents the wheel of life (birth, aging, illness, death); serves as a reminder to accept impermanence. Symbolizes lon...",Mahayana; Chan/Zen; Japanese Buddhism,All Buddhas and Bodhisattvas; Ancestors (memorial context),Daily altar offerings; Memorial services,China (cultivated since 15th century BC; sacred flower in East Asian Buddhism)
10,茉莉花,Jasmine,flowers,"Compassion, empathy, and kindness toward all living beings. Represents purity of intentions and encourages mindfulness i...",Theravada,Shakyamuni Buddha; All Buddhas,Daily temple offerings; Vesak,"South Asia / Southeast Asia (particularly prevalent in Thailand, Sri Lanka, Cambodia)"
11,万寿菊/金盏花,Marigold,flowers,"Radiance, merit, prosperity, and the path to wisdom. The bright color symbolizes the golden light of the Buddha's teachi...",Mahayana; Theravada,All Buddhas and Bodhisattvas,Festivals; Daily altar offerings,"Mexico (Tagetes species), but adopted into Buddhist practice across India, Nepal, Sri Lanka, Tibet, and Southeast Asia"
12,食物供品 (熟食),Cooked Food Offering (Naivedya),food,Nourishment of meditative concentration; the nectar of Dharma; the wish to achieve spiritual abundance. Symbolizes the d...,Theravada; Mahayana; Vajrayana,All Buddhas and Bodhisattvas; Specific deities based on their 'favorite' foods,Daily altar offerings; Festival days,India (ancient offering tradition spread throughout Buddhist world)
13,五果,Five Fruits Offering (Wu Guo),food,"The five elements (五行); the nectar of Dharma; positive outcomes and fortune. Apples symbolize peace (苹果 = 平, peace). Ora...",Mahayana; Chinese Buddhism,All Buddhas and Bodhisattvas; Particularly Guanyin,1st and 15th of lunar month; Buddha/Bodhisattva birthdays,China
14,苹果,Apple,food,"Peace, harmony, and safety. The sound-symbolism in Chinese makes apples one of the most auspicious fruits for Buddhist o...",Mahayana; Chinese Buddhism,All Buddhas and Bodhisattvas,Daily altar offering; Chinese New Year,China (as offering tradition)
15,橙/橘,Orange / Mandarin,food,"Good fortune, prosperity, and abundance. The gold color of the fruit symbolizes wealth and divine blessing....",Mahayana; Chinese Buddhism,All Buddhas and Bodhisattvas,Chinese New Year; Buddhist festivals,China
16,米饭/白米,Cooked Rice / White Rice,food,"Life, sustenance, purity, and fertility. Rice as prasad represents divine blessing. Rice's sattvic (pure) quality makes ...",Theravada; Mahayana; Vajrayana,Shakyamuni Buddha; All Buddhas,Daily alms giving (Theravada); Buddhist ceremonies,India / South and Southeast Asia (rice culture)
17,托玛/食子,Torma (Ritual Offering Cake),food,'Tor' means casting away all impurities and giving without stinginess to all sentient beings. 'Ma' symbolizes attainment...,Vajrayana; Tibetan Buddhism,Specific tantric deities; Dharma Protectors,Tantric rituals; Feast practices (tsok),Tibet (developed from Indian bali tradition)
18,香水/香露,Perfume / Scented Water (Ghande),scent_and_perfume,The joy of spiritual awakening; the 'fragrance' of virtue which spreads beyond the immediate vicinity. The Buddha equate...,Vajrayana; Tibetan Buddhism; Mahayana,All Buddhas and Bodhisattvas,Seven/Eight Offering Bowl ritual; Major puja ceremonies,"India (ancient Indian custom of welcoming guests with perfumed water), developed in Tibet"
19,樟脑,Camphor,incense,"Purification, dispelling obstacles and negativities. Its rapid evaporation symbolizes impermanence. In Tibetan Sur (arom...",Mahayana; Vajrayana; Theravada,All Buddhas,Tibetan Sur (aroma charity) ritual; Incense offering ceremonies,"China, Japan, Taiwan (Cinnamomum camphora trees), also Southeast Asia"
20,藏香,Tibetan Herbal Incense Blend,incense,"Purification of negative forces and obscurations, calming the mind for balanced meditation. The earthly, herbal fragranc...",Vajrayana; Tibetan Buddhism,All Buddhas; Dharma Protectors,Daily Tibetan Buddhist practice; Major ceremonies,"Tibet, Nepal, Bhutan, Sikkim"
21,线香/棒香,Stick Incense (Joss Sticks),incense,The smoke rising upward carries prayers and aspirations to enlightened beings. Three sticks burned together symbolize th...,Mahayana; Chan/Zen; Japanese Buddhism; Vietnamese Buddhism; Korean Buddhism,All Buddhas and Bodhisattvas; Ancestors,Daily worship; All Buddhist festivals,"China (the shaoxiang ritual), with roots in Indian Buddhist incense practice"
22,盘香/卧香,Coil Incense (Spiral Incense),incense,Continuous and uninterrupted offering; endless dedication of merit; the ongoing prayer without ceasing. The spiral shape...,Mahayana; Chinese Buddhism; Vietnamese Buddhism,All Buddhas and Bodhisattvas,Major festivals when continuous offering is desired; Long retreat periods,China
23,供茶,Tea Offering,beverages,"Simplicity, mindfulness, and non-attachment. 'Tea and Zen are one flavor' (茶禅一味 — Cha Chan Yi Wei), written by Song Dyna...","Chan/Zen; Japanese Zen (Rinzai, Soto); Chinese Buddhism","All Buddhas; Bodhidharma (first Zen patriarch, in Japanese practice)",Daily Chan/Zen practice; Tea ceremonies,"China (Tang Dynasty innovation), spread to Japan, Korea, Vietnam"
24,曼陀罗供,Mandala Offering (with Ritual Grains),ritual_objects,Offering the entire universe (and everything one holds dear) to the Three Jewels. A supreme act of generosity and non-at...,Vajrayana; Tibetan Buddhism,All Buddhas and Bodhisattvas; The Three Jewels,Preliminary practices (Ngondro); Before major meditation sessions,"India (ancient Indian cosmic-universe model), developed in Tibet through Atisha's Lamrim tradition"
25,功德金/布施,Monetary Donation / Dana,dana_and_alms,Generosity (dana) as a fundamental spiritual virtue; the creation of merit (punya); cultivation of non-attachment to mat...,Theravada; Mahayana; Vajrayana,The Sangha (monastic community); Temples and monasteries,All Buddhist festivals; Temple visits,India (dana as a universal Buddhist virtue)
